PolicyReplicaVM Mode;LIVE_MIGRATION_MIRROR
Total consumido Coudlets;4.355077669767692E10
Coudlets averageEnergyHistoryDevice;3.0243594928942305E8
Total consumido AP(AP DEVICES);28800.0
AP DEVICES averageEnergyHistoryDevice;100.0
SmartThing(0) Power;82.44
SmartThing(0) Energy Consumed;2.992590051614019E8
VM data transferred in migration;256.0
getVMTransferredData / CloudSim.clock;7.06791827719492E-5
Device's network usage;7.8128574E7
deviceNetworkUsage / CloudSim.clock;21.570561568194368
Migration' network usage (total);2.788157666351008E9
Migration' network usage (mean);2.788157666351008E9
getNetWorkUsageInMigration / CloudSim.clock;769.78400506654
Total network usage;2.866286240351008E9
getNetworkUsage() / CloudSim.clock);791.3545666347344
CloudSim.clock;3622000.0
Total of migrations;1
Total of handoff;3
Different Cloudlets reached along the user's path;3
Average of without connection;926.0436862716451
Average of without Vm;425697.5799161331
Average of delay after new Connectionl507864.7510967641
Average of Time of Migrations;231223.00163724372
Hightest Time of Migrations;231223.00163724372
Average of Downtime;847.2591386327888
Max Downtime;847.2591386327888
Tuple lost;0.01891181296414663%
Tuple lost;287
Total tuple;1517570
