Total consumido Coudlets;9.397223949628672E9
Coudlets averageEnergyHistoryDevice;6.525849965019911E7
Total consumido AP(AP DEVICES);28800.0
AP DEVICES averageEnergyHistoryDevice;100.0
mobileDevice:SmartThing1: Power = ;82.44
mobileDevice:SmartThing1: Energy Consumed;6.485477286846109E7
mobileDevice:SmartThing2: Power = ;82.44
mobileDevice:SmartThing2: Energy Consumed;6.4566021052251756E7
mobileDevice:SmartThing3: Power = ;82.44
mobileDevice:SmartThing3: Energy Consumed;6.463001248965036E7
SmartThing(0) Power;82.44
SmartThing(1) Power;82.44
SmartThing(2) Power;82.44
SmartThing(0) Energy Consumed;5.574320422623752E7
SmartThing(1) Energy Consumed;6.477206026530861E7
SmartThing(2) Energy Consumed;6.448285168669584E7
VM data transferred in migration;640.0
getVMTransferredData / CloudSim.clock;8.205128205128205E-4
Device's network usage;9.7025874E7
deviceNetworkUsage / CloudSim.clock;124.39214615384616
Migration' network usage (total);6.916826279690274E9
Migration' network usage (mean);2.305608759896758E9
getNetWorkUsageInMigration / CloudSim.clock;8867.725999602915
Total network usage;7.013852153690274E9
getNetworkUsage() / CloudSim.clock);8992.118145756762
CloudSim.clock;780000.0
Total of migrations;3
Total of handoff;11
Different Cloudlets reached along the user's path;11
Average of without connection;1060.1366210451995
Average of without Vm;429546.9653862521
Average of delay after new Connectionl506349.5306530008
Average of Time of Migrations;232739.12304638873
Hightest Time of Migrations;233497.9970843601
Average of Downtime;0.0
Max Downtime;0.0
Tuple lost;0.07557948906042469%
Tuple lost;1360
Total tuple;1799430
Total consumido Coudlets;9.393196734242607E9
Coudlets averageEnergyHistoryDevice;6.523053287668477E7
Total consumido AP(AP DEVICES);28800.0
AP DEVICES averageEnergyHistoryDevice;100.0
mobileDevice:SmartThing2: Power = ;82.44
mobileDevice:SmartThing2: Energy Consumed;6.470665102456793E7
mobileDevice:SmartThing3: Power = ;82.44
mobileDevice:SmartThing3: Energy Consumed;6.464690836199797E7
SmartThing(0) Power;82.44
SmartThing(1) Power;82.44
SmartThing(2) Power;82.44
SmartThing(0) Energy Consumed;5.863592662319656E7
SmartThing(1) Energy Consumed;5.536198774161844E7
SmartThing(2) Energy Consumed;6.462408206432619E7
VM data transferred in migration;768.0
getVMTransferredData / CloudSim.clock;9.846153846153846E-4
Device's network usage;9.2799918E7
deviceNetworkUsage / CloudSim.clock;118.97425384615384
Migration' network usage (total);8.296604704453455E9
Migration' network usage (mean);2.765534901484485E9
getNetWorkUsageInMigration / CloudSim.clock;10636.67269801725
Total network usage;8.389404622453455E9
getNetworkUsage() / CloudSim.clock);10755.646951863404
CloudSim.clock;780000.0
Total of migrations;3
Total of handoff;13
Different Cloudlets reached along the user's path;13
Average of without connection;1052.5747352714461
Average of without Vm;439451.7177515719
Average of delay after new Connectionl470298.437630539
Average of Time of Migrations;233310.62412106936
Hightest Time of Migrations;235212.62412133729
Average of Downtime;0.0
Max Downtime;0.0
Tuple lost;0.09547561657224544%
Tuple lost;1645
Total tuple;1722953
Total consumido Coudlets;4.3987286853003784E10
Coudlets averageEnergyHistoryDevice;3.054672698125263E8
Total consumido AP(AP DEVICES);28800.0
AP DEVICES averageEnergyHistoryDevice;100.0
SmartThing(0) Power;82.44
SmartThing(1) Power;82.44
SmartThing(2) Power;82.44
SmartThing(3) Power;82.44
SmartThing(0) Energy Consumed;2.9960731219099313E8
SmartThing(1) Energy Consumed;5.858772239204262E7
SmartThing(2) Energy Consumed;5.534299206300356E7
SmartThing(3) Energy Consumed;2.602876126852463E8
VM data transferred in migration;1664.0
getVMTransferredData / CloudSim.clock;4.594146880176698E-4
Device's network usage;2.12801292E8
deviceNetworkUsage / CloudSim.clock;58.75242738818332
Migration' network usage (total);1.8161394432085747E10
Migration' network usage (mean);2.0179327146761942E9
getNetWorkUsageInMigration / CloudSim.clock;5014.189517417379
Total network usage;1.8374195724085747E10
getNetworkUsage() / CloudSim.clock);5072.941944805562
CloudSim.clock;3622000.0
Total of migrations;9
Total of handoff;25
Different Cloudlets reached along the user's path;24
Average of without connection;1066.3185200793216
Average of without Vm;330415.3373532653
Average of delay after new Connectionl492048.8961046231
Average of Time of Migrations;128934.23086468989
Hightest Time of Migrations;132949.0307921451
Average of Downtime;19340.134629703487
Max Downtime;79134.58517803252
Tuple lost;0.05832248541937865%
Tuple lost;2845
Total tuple;4878050
