PolicyReplicaVM Mode;getMaxSmartThings;Total consumido Coudlets;Coudlets averageEnergyHistoryDevice;Total consumido AP(AP DEVICES);AP DEVICES averageEnergyHistoryDevice;SmartThing(0) Power;SmartThing(1) Power;SmartThing(2) Power;SmartThing(3) Power;SmartThing(4) Power;SmartThing(5) Power;SmartThing(6) Power;SmartThing(7) Power;SmartThing(8) Power;SmartThing(9) Power;SmartThing(0) Energy Consumed;SmartThing(1) Energy Consumed;SmartThing(2) Energy Consumed;SmartThing(3) Energy Consumed;SmartThing(4) Energy Consumed;SmartThing(5) Energy Consumed;SmartThing(6) Energy Consumed;SmartThing(7) Energy Consumed;SmartThing(8) Energy Consumed;SmartThing(9) Energy Consumed;VM data transferred in migration;getVMTransferredData / CloudSim.clock;Device's network usage;deviceNetworkUsage / CloudSim.clock;Migration' network usage (total);Migration' network usage (mean);getNetWorkUsageInMigration / CloudSim.clock;Total network usage;getNetworkUsage() / CloudSim.clock;CloudSim.clock;Total of migrations;Total of handoff;Different Cloudlets reached along the user's path;Average of without connection;Average of without Vm;Average of delay after new Connectionl;Average of Time of Migrations;Hightest Time of Migrations;Average of Downtime;Max Downtime;Tuple lost;Tuple lost;Total tuple;
LIVE_MIGRATION_MIRROR;10;4.465476257530333E10;3.101025178840509E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;3.0540499730114776E8;5.889071208616376E7;5.5666353689624086E7;2.6423992203041264E8;2.5476608895733255E8;1.7958938272994304E8;2.3068287384483166E7;3.3258553175242122E7;1.571499729905911E8;1.5880215334503666E8;4224.0;0.0011662065157371619;6.06362982E8;167.4110938707896;6.218912982437988E10;2.591213742682495E9;17169.831536272744;6.279549280637988E10;17337.242630143533;3622000.0;24;65;64;1043.6283521158293;297339.2782834891;467889.29179549986;257171.65631985536;265892.1184598864;3212.844982955166;27884.761926598094;0.0601092505014738%;9069;15087528;
LIVE_MIGRATION_MIRROR;9;4.4512899350404816E10;3.0911735660003346E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;2.999060165337514E8;5.870397410921208E7;5.57159039665321E7;2.606759465869092E8;2.5020687204173023E8;1.7578059170135358E8;2.3173736424367715E7;3.3543729710443497E7;1.5385655545414457E8;0;3712.0;0.0010248481501932633;4.65895452E8;128.62933517393705;5.45013724718294E10;2.595303451039495E9;15047.314321322308;5.49672679238294E10;15175.943656496245;3622000.0;21;58;57;1060.6138139194547;293846.96514760563;459602.96047002857;257077.7439268189;265891.57704431424;3170.948562717084;24279.714533558334;0.06275061183652833%;6948;11072402;
LIVE_MIGRATION_MIRROR;8;4.4433216521884796E10;3.085640036242E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;2.997750299271528E8;5.823933056862869E7;5.542058699969096E7;2.604078668518058E8;2.4998326458172226E8;1.7552238278508815E8;2.304365403307874E7;3.325294584869967E7;0;0;3200.0;8.83489784649365E-4;4.03946526E8;111.52582164549972;4.6934198641408226E10;2.760835214200484E9;12958.089078246336;4.7338145167408226E10;13069.614899891834;3622000.0;17;48;48;1065.053042118314;294834.41594468406;470262.8155753907;258341.25718895358;265891.66381723294;3124.21136346479;20061.737285116673;0.05856718785779071%;5632;9616306;
LIVE_MIGRATION_MIRROR;7;4.430807443489909E10;3.076949613534659E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;3.000309428451828E8;5.893393102052575E7;5.614880798652784E7;2.6020134217207977E8;2.5002108761060807E8;1.7594198541433048E8;2.335398876056173E7;0;0;0;3072.0;8.481501932633904E-4;3.7827153E8;104.43719768083932;4.523200725413443E10;2.660706309066731E9;12488.130108816795;4.561027878413443E10;12592.567306497634;3622000.0;17;46;46;1057.7568646769573;296731.72866349755;489587.0406386276;256313.78131600644;265891.3790040673;3125.693838843292;20339.563263506174;0.06107004733296697%;5393;8830843;
LIVE_MIGRATION_MIRROR;6;4.430202617133376E10;3.0765295952315116E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;0;2.997457082997118E8;5.827376505857341E7;5.5580993714253515E7;2.608158693903499E8;2.502885899068188E8;1.754595781221541E8;0;0;0;0;2944.0;8.128106018774158E-4;3.72928368E8;102.96200110436223;4.322313660073709E10;2.542537447102182E9;11933.499889767281;4.359606496873709E10;12036.461890871644;3622000.0;17;45;45;1052.2860555186166;297807.5548735296;495327.6155595886;257852.62314971717;265891.81448617525;3063.341444540181;20860.99452478557;0.06153785927022019%;5156;8378582;
LIVE_MIGRATION_MIRROR;5;4.415954570347861E10;3.0666351182971257E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;0;0;0;0;0;2.9905259764331764E8;5.82646300630878E7;5.53898840131553E7;2.6007309054330304E8;2.4964218976338503E8;0;0;0;0;0;2432.0;6.714522363335174E-4;3.04305768E8;84.01594919933738;3.566530271038962E10;2.547521622170687E9;9846.853315955168;3.596960847838962E10;9930.869265154504;3622000.0;14;36;35;1060.5096383812452;297806.45066758915;508512.38181089994;257837.23483568034;265891.8498792941;3255.948494441864;17733.767655510175;0.05894516310947759%;4020;6819898;
LIVE_MIGRATION_MIRROR;4;4.399250996707404E10;3.055035414380142E8;28800.0;100.0;82.44;82.44;82.44;82.44;0;0;0;0;0;0;2.9941259045842713E8;5.845039353218057E7;5.532407106716059E7;2.6013503324916777E8;0;0;0;0;0;0;1664.0;4.594146880176698E-4;2.14593408E8;59.24721369409166;2.4517882483315754E10;2.7242091648128614E9;6769.15584851346;2.4732475891315754E10;6828.4030622075525;3622000.0;9;25;24;1066.3185200793216;297294.0848213839;497461.10383592587;257845.42416482957;265891.70212009497;3206.5223968416794;12790.140190637117;0.05895565143763975%;2907;4930825;
LIVE_MIGRATION_PRECOPY;10;4.464051707768931E10;3.1000359081728685E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;3.064256673419562E8;5.910836757972514E7;5.605360952630904E7;2.6517929930834407E8;2.548646081484552E8;1.8016075157040197E8;2.3294327742954984E7;3.356049268976504E7;1.57301557296243E8;1.591442106476138E8;4224.0;0.0011662065157371619;5.99749998E8;165.5853114301491;4.842754898670435E10;2.0178145411126814E9;13370.389007925001;4.902729898470435E10;13535.97431935515;3622000.0;24;65;64;1043.6283521158293;314831.649473076;469135.1758983489;196684.6045362749;204533.962462371;9834.230226813745;80718.04887164247;0.06205282212778055%;8975;14463484;
LIVE_MIGRATION_PRECOPY;9;4.450516266252447E10;3.0906362960086435E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;3.002700207921374E8;5.9071408866629906E7;5.610972103008864E7;2.6092877511366534E8;2.5049395885372725E8;1.7598071667402536E8;2.3427535875713788E7;3.355693599477577E7;1.537306739633632E8;0;3712.0;0.0010248481501932633;4.525611E8;124.94784649364992;4.236818362612332E10;2.0175325536249201E9;11697.455446196389;4.282074472612332E10;11822.40329269004;3622000.0;21;58;57;1060.6138139194547;312009.406965589;463489.3760151623;197910.0852747528;204533.42104679885;9895.504263737643;70931.92839196225;0.06368404829390704%;6851;10757796;
LIVE_MIGRATION_PRECOPY;8;4.432824095629199E10;3.078350066409166E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;2.999919488088319E8;5.8294400776232556E7;5.5563289311916806E7;2.6082485775754696E8;2.5002301282044244E8;1.7554435859254906E8;2.309102706759934E7;3.323992239372007E7;0;0;3200.0;8.83489784649365E-4;4.01937834E8;110.97124075096632;3.6538015749947105E10;2.149295044114536E9;10087.80114576121;3.6939953583947105E10;10198.772386512177;3622000.0;17;48;47;1066.6671273479349;312581.52652261034;471589.58057574223;198460.63389620467;204533.50781971755;9923.031694810235;60923.36696695685;0.05815865967853093%;5541;9527386;
LIVE_MIGRATION_PRECOPY;7;4.42974045499346E10;3.076208649301014E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;3.0020146640706253E8;5.897010395690478E7;5.615845274785477E7;2.6029498833455747E8;2.5017400957621303E8;1.7584227521803284E8;2.340214135456286E7;0;0;0;3072.0;8.481501932633904E-4;3.75996744E8;103.80915074544451;3.5180450086548996E10;2.069438240385235E9;9712.990084635283;3.5556446830548996E10;9816.799235380728;3622000.0;17;46;46;1057.7568646769573;317231.7096606026;492848.7141222086;197179.26560335676;204533.22300655188;9858.963280167842;60820.59066956323;0.05962904817275139%;5202;8723936;
